,Coal,Gas,Wind,Solar,Nuclear,,Total,,,,
12/13/2024,"  90,023 ","  191,295 ","  74,339 ","  15,375 ","  96,792 ",,"  503,582 ",,,,
12/12/2024,"  95,906 ","  207,127 ","  57,779 ","  17,095 ","  96,925 ",,"  511,632 ",,,,
12/11/2024,"  84,855 ","  197,715 ","  58,330 ","  15,436 ","  95,906 ",,"  485,760 ",,,,
12/10/2024,"  82,770 ","  182,662 ","  58,802 ","  14,128 ","  94,603 ",,"  464,070 ",,,,
12/9/2024,"  76,536 ","  171,515 ","  69,193 ","  14,863 ","  93,646 ",,"  456,251 ",,,,
12/8/2024,"  74,419 ","  165,867 ","  71,715 ","  15,343 ","  93,847 ",,"  447,493 ",,,,
12/7/2024,"  89,611 ","  198,253 ","  57,347 ","  17,003 ","  92,432 ",,"  484,760 ",,,,
12/6/2024,"  102,096 ","  225,174 ","  43,056 ","  19,232 ","  92,373 ",,"  515,228 ",,,,
12/5/2024,"  95,918 ","  209,631 ","  49,120 ","  17,357 ","  91,710 ",,"  493,948 ",,,,
12/4/2024,"  93,921 ","  207,406 ","  60,772 ","  17,016 ","  93,104 ",,"  506,618 ",,,,
12/3/2024,"  97,900 ","  211,874 ","  50,891 ","  18,747 ","  93,733 ",,"  508,396 ",,,,
12/2/2024,"  102,125 ","  213,607 ","  32,100 ","  20,384 ","  94,375 ",,"  496,654 ",,,,
12/1/2024,"  96,399 ","  195,323 ","  27,044 ","  20,458 ","  94,839 ",,"  464,284 ",,,,
11/30/2024,"  88,366 ","  185,976 ","  45,332 ","  19,566 ","  94,453 ",,"  464,409 ",,,,
11/29/2024,"  79,897 ","  172,254 ","  50,075 ","  16,973 ","  93,997 ",,"  444,265 ",,,,
11/28/2024,"  76,168 ","  162,170 ","  48,701 ","  14,357 ","  93,193 ",,"  424,005 ",,,,
11/27/2024,"  76,979 ","  174,121 ","  58,359 ","  14,659 ","  92,380 ",,"  449,113 ",,,,
11/26/2024,"  72,395 ","  184,533 ","  51,075 ","  16,102 ","  91,450 ",,"  444,019 ",,,,
11/25/2024,"  65,423 ","  172,110 ","  67,308 ","  15,437 ","  90,971 ",,"  443,137 ",,,,
11/24/2024,"  60,884 ","  150,760 ","  69,711 ","  19,128 ","  90,335 ",,"  419,216 ",,,,
11/23/2024,"  68,453 ","  161,174 ","  59,910 ","  20,216 ","  89,248 ",,"  428,158 ",,,,
11/22/2024,"  76,272 ","  192,871 ","  39,169 ","  21,622 ","  90,591 ",,"  454,483 ",,,,
11/21/2024,"  69,658 ","  189,474 ","  48,943 ","  22,376 ","  89,648 ",,"  452,121 ",,,,
11/20/2024,"  60,267 ","  173,385 ","  60,372 ","  19,518 ","  88,001 ",,"  433,338 ",,,,
11/19/2024,"  56,064 ","  168,281 ","  70,082 ","  18,686 ","  88,872 ",,"  434,497 ",,,,
11/18/2024,"  57,523 ","  166,968 ","  74,417 ","  15,389 ","  88,932 ",,"  434,116 ",,,,
11/17/2024,"  56,733 ","  165,832 ","  52,259 ","  16,985 ","  87,656 ",,"  407,737 ",,,,
11/16/2024,"  50,398 ","  147,957 ","  76,632 ","  19,039 ","  86,761 ",,"  409,680 ",,,,
11/15/2024,"  63,964 ","  169,061 ","  58,832 ","  20,264 ","  86,191 ",,"  429,089 ",,,,
11/14/2024,"  67,501 ","  186,783 ","  45,988 ","  19,174 ","  85,609 ",,"  437,863 ",,,,
11/13/2024,"  57,574 ","  181,185 ","  63,487 ","  20,198 ","  85,479 ",,"  440,682 ",,,,
11/12/2024,"  51,468 ","  173,485 ","  72,409 ","  20,969 ","  84,151 ",,"  432,612 ",,,,
11/11/2024,"  58,325 ","  188,816 ","  43,435 ","  20,763 ","  83,047 ",,"  425,955 ",,,,
11/10/2024,"  55,127 ","  181,529 ","  38,142 ","  18,717 ","  81,793 ",,"  405,779 ",,,,
11/9/2024,"  51,274 ","  170,927 ","  53,681 ","  21,145 ","  82,632 ",,"  409,881 ",,,,
11/8/2024,"  63,356 ","  189,871 ","  49,037 ","  17,388 ","  82,220 ",,"  433,492 ",,,,
11/7/2024,"  68,091 ","  197,766 ","  42,694 ","  16,338 ","  81,531 ",,"  439,255 ",,,,
11/6/2024,"  64,143 ","  197,911 ","  46,417 ","  18,171 ","  80,424 ",,"  438,311 ",,,,
11/5/2024,"  61,096 ","  191,403 ","  54,194 ","  17,895 ","  79,573 ",,"  434,538 ",,,,
11/4/2024,"  60,331 ","  185,044 ","  65,360 ","  17,009 ","  79,363 ",,"  438,052 ",,,,
11/3/2024,"  51,562 ","  161,057 ","  66,322 ","  16,984 ","  77,693 ",,"  400,597 ",,,,
11/2/2024,"  54,360 ","  164,357 ","  55,387 ","  13,776 ","  77,503 ",,"  393,090 ",,,,
11/1/2024,"  62,766 ","  185,851 ","  48,559 ","  18,894 ","  79,687 ",,"  427,422 ",,,,
10/31/2024,"  64,125 ","  190,337 ","  53,243 ","  20,425 ","  79,487 ",,"  436,633 ",,,,
10/30/2024,"  61,494 ","  183,330 ","  75,983 ","  19,756 ","  79,208 ",,"  447,159 ",,,,
10/29/2024,"  60,409 ","  174,740 ","  86,196 ","  19,211 ","  77,926 ",,"  444,489 ",,,,
10/28/2024,"  58,403 ","  174,685 ","  80,831 ","  19,876 ","  76,742 ",,"  436,010 ",,,,
10/27/2024,"  57,566 ","  170,010 ","  52,779 ","  21,802 ","  77,487 ",,"  403,699 ",,,,
10/26/2024,"  60,522 ","  179,417 ","  40,684 ","  25,053 ","  77,312 ",,"  406,672 ",,,,
10/25/2024,"  62,805 ","  191,303 ","  46,770 ","  25,848 ","  76,761 ",,"  431,706 ",,,,
10/24/2024,"  60,933 ","  183,093 ","  63,356 ","  25,137 ","  76,484 ",,"  436,790 ",,,,
10/23/2024,"  64,502 ","  198,293 ","  44,132 ","  26,422 ","  76,324 ",,"  438,162 ",,,,
10/22/2024,"  61,047 ","  192,761 ","  50,176 ","  26,039 ","  76,111 ",,"  434,925 ",,,,
10/21/2024,"  56,469 ","  169,988 ","  70,071 ","  25,667 ","  76,949 ",,"  426,146 ",,,,
10/20/2024,"  50,678 ","  152,404 ","  63,542 ","  26,424 ","  78,005 ",,"  396,200 ",,,,
10/19/2024,"  53,737 ","  156,091 ","  58,868 ","  24,569 ","  79,114 ",,"  397,627 ",,,,
10/18/2024,"  57,122 ","  156,390 ","  76,657 ","  23,279 ","  78,873 ",,"  421,161 ",,,,
10/17/2024,"  59,467 ","  157,232 ","  77,658 ","  25,744 ","  78,655 ",,"  426,582 ",,,,
10/16/2024,"  67,191 ","  170,326 ","  58,668 ","  25,585 ","  78,381 ",,"  428,100 ",,,,
10/15/2024,"  67,157 ","  181,955 ","  54,031 ","  26,371 ","  76,945 ",,"  436,734 ",,,,
